route_segment,hour,day_of_week,congestion_score
AGC_VGLJ,8,0,16.444
AGC_VGLJ,8,1,19.35
AGC_VGLJ,8,2,0.0
AGC_VGLJ,8,3,27.5
AGC_VGLJ,8,4,20.156
AGC_VGLJ,8,6,28.533
AGC_VGLJ,9,0,55.669
AGC_VGLJ,9,1,16.506
AGC_VGLJ,9,2,17.557
AGC_VGLJ,9,3,29.223
AGC_VGLJ,9,4,27.253
AGC_VGLJ,9,5,34.686
AGC_VGLJ,9,6,28.8
AGC_VGLJ,10,0,60.5
AGC_VGLJ,10,1,45.929
AGC_VGLJ,10,2,34.555
AGC_VGLJ,10,3,46.441
AGC_VGLJ,10,4,40.863
AGC_VGLJ,10,5,53.07
AGC_VGLJ,10,6,58.05
AGC_VGLJ,11,0,85.3
AGC_VGLJ,11,2,82.0
AGC_VGLJ,11,3,93.5
AGC_VGLJ,11,6,104.8
ALJN_TDL,11,1,8.25
ALJN_TDL,11,2,0.0
ALJN_TDL,11,6,22.1
ALJN_TDL,12,0,23.328
ALJN_TDL,12,1,13.889
ALJN_TDL,12,2,55.925
ALJN_TDL,12,3,40.267
ALJN_TDL,12,4,26.256
ALJN_TDL,12,5,22.958
ALJN_TDL,12,6,10.308
ALJN_TDL,13,0,39.912
ALJN_TDL,13,1,52.689
ALJN_TDL,13,2,56.433
ALJN_TDL,13,3,39.367
ALJN_TDL,13,4,52.836
ALJN_TDL,13,5,52.08
ALJN_TDL,13,6,24.822
ALJN_TDL,14,0,81.05
ALJN_TDL,14,1,75.66
ALJN_TDL,14,2,70.7
ALJN_TDL,14,3,95.55
ALJN_TDL,14,4,90.1
ALJN_TDL,14,5,79.925
ALJN_TDL,14,6,45.5
ALJN_TDL,15,0,141.7
ALJN_TDL,15,1,133.5
ALJN_TDL,15,2,136.967
ALJN_TDL,15,4,91.8
ALJN_TDL,15,5,95.2
ALJN_TDL,15,6,95.3
ALJN_TDL,16,3,153.5
ALJN_TDL,18,1,188.4
BCT_BRC,5,0,16.819
BCT_BRC,5,1,19.611
BCT_BRC,5,2,17.316
BCT_BRC,5,3,4.368
BCT_BRC,5,4,3.0
BCT_BRC,5,5,18.828
BCT_BRC,5,6,1.712
BCT_BRC,6,0,17.885
BCT_BRC,6,1,16.163
BCT_BRC,6,2,17.31
BCT_BRC,6,3,14.962
BCT_BRC,6,4,29.554
BCT_BRC,6,5,11.411
BCT_BRC,6,6,16.52
BCT_ST,5,0,4.372
BCT_ST,5,1,14.078
BCT_ST,5,2,8.004
BCT_ST,5,3,12.367
BCT_ST,5,4,25.77
BCT_ST,5,5,22.789
BCT_ST,5,6,29.042
BCT_ST,6,0,11.196
BCT_ST,6,1,20.23
BCT_ST,6,2,11.421
BCT_ST,6,3,14.869
BCT_ST,6,4,26.263
BCT_ST,6,5,8.888
BCT_ST,6,6,31.568
BPL_NGP,15,0,6.875
BPL_NGP,15,1,5.2
BPL_NGP,15,2,4.319
BPL_NGP,15,3,14.3
BPL_NGP,15,4,24.089
BPL_NGP,15,6,34.133
BPL_NGP,16,0,60.38
BPL_NGP,16,1,27.319
BPL_NGP,16,2,29.378
BPL_NGP,16,3,54.867
BPL_NGP,16,4,33.403
BPL_NGP,16,5,23.844
BPL_NGP,16,6,48.35
BPL_NGP,17,0,63.471
BPL_NGP,17,1,68.633
BPL_NGP,17,2,68.425
BPL_NGP,17,3,64.1
BPL_NGP,17,4,59.683
BPL_NGP,17,5,71.312
BPL_NGP,17,6,83.24
BPL_NGP,18,0,75.6
BPL_NGP,18,1,101.275
BPL_NGP,18,2,97.567
BPL_NGP,18,3,88.5
BPL_NGP,18,4,82.3
BPL_NGP,18,5,94.42
BPL_NGP,18,6,78.033
BPL_NGP,19,0,118.5
BPL_NGP,19,1,172.2
BPL_NGP,19,2,97.35
BPL_NGP,19,3,114.24
BPL_NGP,19,4,172.4
BPL_NGP,19,6,92.7
BPL_NGP,20,0,142.133
BPL_NGP,20,2,136.4
BPL_NGP,20,3,126.9
BPL_NGP,21,6,104.9
BRC_RTM,8,0,0.0
BRC_RTM,8,1,13.133
BRC_RTM,8,2,3.125
BRC_RTM,8,3,17.667
BRC_RTM,8,4,34.763
BRC_RTM,8,5,0.0
BRC_RTM,8,6,3.656
BRC_RTM,9,0,26.708
BRC_RTM,9,1,28.922
BRC_RTM,9,2,24.912
BRC_RTM,9,3,32.121
BRC_RTM,9,4,12.383
BRC_RTM,9,5,14.326
BRC_RTM,9,6,18.725
BRC_RTM,10,0,62.05
BRC_RTM,10,1,43.579
BRC_RTM,10,2,43.016
BRC_RTM,10,3,44.847
BRC_RTM,10,4,45.681
BRC_RTM,10,5,59.114
BRC_RTM,10,6,54.117
BRC_RTM,11,0,73.3
BRC_RTM,11,1,120.8
BRC_RTM,11,2,32.311
BRC_RTM,11,4,156.0
BRC_RTM,11,5,74.3
BRC_RTM,11,6,156.5
BRC_RTM,12,0,41.667
BRC_RTM,12,1,42.36
BRC_RTM,12,2,10.062
BRC_RTM,12,3,10.727
BRC_RTM,12,4,19.949
BRC_RTM,12,5,32.542
BRC_RTM,12,6,8.467
BRC_RTM,13,0,57.64
BRC_RTM,13,1,43.32
BRC_RTM,13,2,47.383
BRC_RTM,13,3,35.423
BRC_RTM,13,4,51.933
BRC_RTM,13,5,36.547
BRC_RTM,13,6,65.833
BRC_RTM,14,0,84.75
BRC_RTM,14,1,86.82
BRC_RTM,14,2,58.8
BRC_RTM,14,3,86.0
BRC_RTM,14,4,84.189
BRC_RTM,14,5,74.2
BRC_RTM,14,6,92.68
BRC_RTM,15,1,106.9
BRC_RTM,15,2,145.767
BRC_RTM,15,5,81.0
BRC_RTM,15,6,84.85
BRC_RTM,16,3,146.1
BRC_RTM,16,6,108.4
BRC_RTM,17,6,157.9
BRC_ST,15,0,3.722
BRC_ST,15,1,19.356
BRC_ST,15,2,20.022
BRC_ST,15,3,32.55
BRC_ST,15,4,27.533
BRC_ST,15,5,20.8
BRC_ST,15,6,33.7
BRC_ST,16,0,38.464
BRC_ST,16,1,26.933
BRC_ST,16,2,25.347
BRC_ST,16,3,44.16
BRC_ST,16,4,30.042
BRC_ST,16,5,33.132
BRC_ST,16,6,57.683
BRC_ST,17,0,62.2
BRC_ST,17,1,78.629
BRC_ST,17,2,65.6
BRC_ST,17,3,66.933
BRC_ST,17,4,61.491
BRC_ST,17,5,76.133
BRC_ST,17,6,53.083
BRC_ST,18,0,72.925
BRC_ST,18,1,89.88
BRC_ST,18,2,66.9
BRC_ST,18,3,85.02
BRC_ST,18,5,124.933
BRC_ST,18,6,81.4
BRC_ST,19,0,114.1
BRC_ST,19,1,139.2
BRC_ST,19,2,154.8
BRC_ST,19,3,111.3
BRC_ST,19,4,73.2
BRC_ST,19,6,137.5
BRC_ST,20,0,128.4
BRC_ST,20,1,133.0
BRC_ST,20,3,146.067
BRC_ST,20,4,150.6
BRC_ST,20,5,134.8
BRC_ST,20,6,154.35
BRC_ST,21,0,147.85
BRC_ST,22,6,215.3
CNB_LKO,0,1,128.4
CNB_LKO,0,3,90.2
CNB_LKO,0,4,164.35
CNB_LKO,0,5,122.9
CNB_LKO,0,6,112.4
CNB_LKO,1,0,139.8
CNB_LKO,1,2,148.8
CNB_LKO,1,4,127.6
CNB_LKO,2,1,225.8
CNB_LKO,2,3,160.4
CNB_LKO,2,5,247.5
CNB_LKO,3,3,197.3
CNB_LKO,3,4,170.7
CNB_LKO,6,2,191.7
