train_id,journey_date,station_code,next_station_code,timestamp,scheduled_arrival,actual_arrival,delay_minutes,current_delay,distance_remaining,scheduled_remaining_time,remaining_travel_time
12301,2025-10-01,NDLS,CNB,2025-10-01 06:55:00,2025-10-01 06:55:00,2025-10-01 07:05:00,10.5,10.5,1150.0,920.0,948.4
12301,2025-10-01,CNB,PRYJ,2025-10-01 10:09:00,2025-10-01 10:09:00,2025-10-01 11:31:00,82.6,82.6,920.0,736.0,824.2
12301,2025-10-01,PRYJ,DDU,2025-10-01 14:35:00,2025-10-01 14:35:00,2025-10-01 15:58:00,83.2,83.2,690.0,552.0,625.0
12301,2025-10-01,DDU,GKP,2025-10-01 19:02:00,2025-10-01 19:02:00,2025-10-01 20:18:00,76.8,76.8,393.2,314.6,380.4
12301,2025-10-01,GKP,HWH,2025-10-01 23:22:00,2025-10-01 23:22:00,2025-10-02 00:38:00,76.6,76.6,88.0,70.4,124.1
12302,2025-10-01,HWH,GKP,2025-10-01 06:23:00,2025-10-01 06:23:00,2025-10-01 06:33:00,10.4,10.4,1150.0,920.0,931.1
12302,2025-10-01,GKP,DDU,2025-10-01 09:37:00,2025-10-01 09:37:00,2025-10-01 10:33:00,56.6,56.6,920.0,736.0,800.4
12302,2025-10-01,DDU,PRYJ,2025-10-01 13:37:00,2025-10-01 13:37:00,2025-10-01 15:33:00,116.4,116.4,690.0,552.0,647.6
12302,2025-10-01,PRYJ,CNB,2025-10-01 18:37:00,2025-10-01 18:37:00,2025-10-01 20:38:00,121.7,121.7,438.6,350.9,442.8
12302,2025-10-01,CNB,NDLS,2025-10-01 23:42:00,2025-10-01 23:42:00,2025-10-02 01:48:00,127.0,127.0,176.0,140.8,258.9
12951,2025-10-01,BCT,ST,2025-10-01 05:34:00,2025-10-01 05:34:00,2025-10-01 05:34:00,0.0,0.0,1150.0,920.0,921.6
12951,2025-10-01,ST,BRC,2025-10-01 08:38:00,2025-10-01 08:38:00,2025-10-01 08:38:00,0.0,0.0,920.0,736.0,736.4
12951,2025-10-01,BRC,RTM,2025-10-01 11:42:00,2025-10-01 11:42:00,2025-10-01 11:49:00,7.5,7.5,690.0,552.0,579.0
12951,2025-10-01,RTM,KOTA,2025-10-01 14:53:00,2025-10-01 14:53:00,2025-10-01 14:59:00,6.5,6.5,244.4,195.5,210.6
12951,2025-10-01,KOTA,NDLS,2025-10-01 18:03:00,2025-10-01 18:03:00,2025-10-01 18:12:00,9.4,9.4,93.0,74.4,92.1
12952,2025-10-01,NDLS,KOTA,2025-10-01 06:49:00,2025-10-01 06:49:00,2025-10-01 06:55:00,7.0,7.0,1150.0,920.0,938.7
12952,2025-10-01,KOTA,RTM,2025-10-01 09:59:00,2025-10-01 09:59:00,2025-10-01 10:18:00,19.9,19.9,920.0,736.0,766.3
12952,2025-10-01,RTM,BRC,2025-10-01 13:22:00,2025-10-01 13:22:00,2025-10-01 13:59:00,37.9,37.9,690.0,552.0,595.0
12952,2025-10-01,BRC,ST,2025-10-01 17:03:00,2025-10-01 17:03:00,2025-10-01 17:50:00,47.4,47.4,323.7,259.0,308.1
12952,2025-10-01,ST,BCT,2025-10-01 20:54:00,2025-10-01 20:54:00,2025-10-01 21:40:00,46.5,46.5,148.2,118.6,166.8
12004,2025-10-01,NDLS,GZB,2025-10-01 06:48:00,2025-10-01 06:48:00,2025-10-01 06:57:00,9.9,9.9,1150.0,920.0,943.6
12004,2025-10-01,GZB,ALJN,2025-10-01 10:01:00,2025-10-01 10:01:00,2025-10-01 10:10:00,9.7,9.7,920.0,736.0,751.6
12004,2025-10-01,ALJN,TDL,2025-10-01 13:14:00,2025-10-01 13:14:00,2025-10-01 14:07:00,53.4,53.4,690.0,552.0,608.1
12004,2025-10-01,TDL,CNB,2025-10-01 17:11:00,2025-10-01 17:11:00,2025-10-01 18:06:00,55.4,55.4,293.3,234.6,282.8
12004,2025-10-01,CNB,LKO,2025-10-01 21:10:00,2025-10-01 21:10:00,2025-10-01 22:03:00,53.7,53.7,117.4,93.9,164.8
12626,2025-10-01,NDLS,AGC,2025-10-01 06:14:00,2025-10-01 06:14:00,2025-10-01 06:54:00,40.5,40.5,1150.0,920.0,956.3
12626,2025-10-01,AGC,VGLJ,2025-10-01 09:58:00,2025-10-01 09:58:00,2025-10-01 10:41:00,43.3,43.3,920.0,736.0,784.8
12626,2025-10-01,VGLJ,BPL,2025-10-01 13:45:00,2025-10-01 13:45:00,2025-10-01 14:39:00,54.2,54.2,690.0,552.0,615.7
12626,2025-10-01,BPL,NGP,2025-10-01 17:43:00,2025-10-01 17:43:00,2025-10-01 18:49:00,66.6,66.6,341.4,273.1,345.8
12626,2025-10-01,NGP,MAS,2025-10-01 21:53:00,2025-10-01 21:53:00,2025-10-01 23:39:00,106.3,106.3,158.6,126.9,222.3
12424,2025-10-01,NDLS,CNB,2025-10-01 06:16:00,2025-10-01 06:16:00,2025-10-01 06:23:00,7.9,7.9,1150.0,920.0,929.6
12424,2025-10-01,CNB,PRYJ,2025-10-01 09:27:00,2025-10-01 09:27:00,2025-10-01 09:42:00,15.6,15.6,920.0,736.0,756.9
12424,2025-10-01,PRYJ,DDU,2025-10-01 12:46:00,2025-10-01 12:46:00,2025-10-01 13:03:00,17.5,17.5,690.0,552.0,585.0
12424,2025-10-01,DDU,PPTA,2025-10-01 16:07:00,2025-10-01 16:07:00,2025-10-01 17:14:00,67.2,67.2,403.2,322.6,394.2
12424,2025-10-01,PPTA,GHY,2025-10-01 20:18:00,2025-10-01 20:18:00,2025-10-01 21:21:00,63.8,63.8,132.3,105.8,162.6
12260,2025-10-01,NDLS,CNB,2025-10-01 06:40:00,2025-10-01 06:40:00,2025-10-01 07:03:00,23.1,23.1,1150.0,920.0,955.8
12260,2025-10-01,CNB,PRYJ,2025-10-01 10:53:00,2025-10-01 10:53:00,2025-10-01 11:44:00,51.1,51.1,862.5,690.0,737.7
12260,2025-10-01,PRYJ,DDU,2025-10-01 15:34:00,2025-10-01 15:34:00,2025-10-01 16:21:00,47.9,47.9,448.3,358.6,411.6
12260,2025-10-01,DDU,HWH,2025-10-01 20:11:00,2025-10-01 20:11:00,2025-10-01 21:07:00,56.6,56.6,92.3,73.8,142.9
