station_code,date,rainfall_mm,temperature_c,humidity,wind_speed
NDLS,2025-10-01,0.0,8.2,61.5,16.1
CNB,2025-10-01,0.6,7.3,57.8,14.0
PRYJ,2025-10-01,35.0,9.6,50.3,12.2
DDU,2025-10-01,3.6,7.4,28.9,13.8
BSB,2025-10-01,0.0,7.9,50.7,7.0
GKP,2025-10-01,0.0,8.2,48.7,12.4
HWH,2025-10-01,0.0,8.8,56.2,7.9
BCT,2025-10-01,29.7,7.4,49.0,8.8
BRC,2025-10-01,0.0,9.5,54.9,5.8
RTM,2025-10-01,0.0,6.9,63.2,5.1
KOTA,2025-10-01,0.0,8.0,41.7,10.8
ST,2025-10-01,0.0,10.6,62.4,10.7
GZB,2025-10-01,0.5,7.1,44.9,3.7
ALJN,2025-10-01,0.0,7.8,41.5,6.5
TDL,2025-10-01,16.2,8.9,48.2,12.4
LKO,2025-10-01,0.0,6.7,65.3,13.7
AGC,2025-10-01,4.4,9.8,39.9,14.4
VGLJ,2025-10-01,0.0,7.0,66.8,6.4
BPL,2025-10-01,0.0,9.3,44.6,9.7
NGP,2025-10-01,0.0,9.6,70.0,11.4
MAS,2025-10-01,0.0,8.7,51.0,9.8
PPTA,2025-10-01,10.1,7.2,55.9,2.0
GHY,2025-10-01,5.3,10.4,47.1,13.0
ASR,2025-10-01,1.8,7.0,64.2,11.3
SBC,2025-10-01,22.3,9.9,68.7,10.7
DMM,2025-10-01,0.0,10.3,52.4,8.5
GTL,2025-10-01,0.0,8.4,28.4,11.4
SC,2025-10-01,4.1,7.6,53.4,11.6
NDLS,2025-10-02,0.0,8.6,57.6,9.7
CNB,2025-10-02,6.9,10.4,44.3,6.0
PRYJ,2025-10-02,0.0,6.7,48.4,10.0
DDU,2025-10-02,0.0,7.6,49.3,8.3
BSB,2025-10-02,0.0,8.5,62.7,5.4
GKP,2025-10-02,13.0,9.6,69.0,4.4
HWH,2025-10-02,0.0,9.1,45.1,7.7
BCT,2025-10-02,0.0,6.7,39.5,10.3
BRC,2025-10-02,11.7,9.1,61.2,9.4
RTM,2025-10-02,0.0,7.1,51.4,12.2
KOTA,2025-10-02,0.0,9.2,68.6,20.2
ST,2025-10-02,22.8,7.5,57.6,13.1
GZB,2025-10-02,0.0,7.9,60.2,11.2
ALJN,2025-10-02,0.0,10.1,48.2,10.9
TDL,2025-10-02,0.0,7.2,57.9,7.1
LKO,2025-10-02,8.0,6.6,65.5,15.3
AGC,2025-10-02,0.0,7.4,47.5,5.5
VGLJ,2025-10-02,0.0,9.5,59.2,13.8
BPL,2025-10-02,4.6,8.8,46.1,6.7
NGP,2025-10-02,0.0,10.4,57.8,13.3
MAS,2025-10-02,0.0,9.7,52.4,20.9
PPTA,2025-10-02,0.0,7.3,44.3,11.9
GHY,2025-10-02,0.0,10.3,52.8,12.9
ASR,2025-10-02,0.0,6.6,59.7,9.7
SBC,2025-10-02,0.0,10.4,46.5,3.9
DMM,2025-10-02,0.0,9.9,57.1,5.0
GTL,2025-10-02,0.0,10.3,46.2,10.6
SC,2025-10-02,0.0,9.0,55.6,5.4
NDLS,2025-10-03,0.0,9.9,65.8,14.2
CNB,2025-10-03,16.6,7.8,58.0,11.0
PRYJ,2025-10-03,0.0,10.0,69.4,10.0
DDU,2025-10-03,0.0,9.0,57.3,10.7
BSB,2025-10-03,0.0,7.7,56.7,6.6
GKP,2025-10-03,0.0,6.5,37.1,11.4
HWH,2025-10-03,0.4,8.8,50.3,14.4
BCT,2025-10-03,0.0,6.9,47.8,12.7
BRC,2025-10-03,0.5,8.9,78.9,17.4
RTM,2025-10-03,0.0,8.9,55.2,11.8
KOTA,2025-10-03,0.0,7.7,50.6,3.3
ST,2025-10-03,32.9,6.7,60.0,13.5
GZB,2025-10-03,1.7,8.0,58.2,3.6
ALJN,2025-10-03,0.0,9.3,58.8,16.6
TDL,2025-10-03,0.0,8.8,47.7,4.9
LKO,2025-10-03,1.2,9.4,59.4,13.1
AGC,2025-10-03,6.8,8.3,42.1,9.6
VGLJ,2025-10-03,0.0,8.1,70.4,15.3
BPL,2025-10-03,0.0,6.6,55.6,19.4
NGP,2025-10-03,0.0,9.8,53.0,10.2
MAS,2025-10-03,0.0,8.7,36.0,15.1
PPTA,2025-10-03,0.0,9.0,61.9,10.3
GHY,2025-10-03,0.0,7.9,50.1,10.8
ASR,2025-10-03,0.0,7.7,48.8,8.6
SBC,2025-10-03,0.0,9.2,58.6,12.3
DMM,2025-10-03,2.0,9.6,62.5,12.4
GTL,2025-10-03,0.0,10.4,67.8,7.6
SC,2025-10-03,0.0,7.8,52.8,14.4
NDLS,2025-10-04,0.0,10.5,68.1,10.1
CNB,2025-10-04,0.0,8.8,58.2,9.5
PRYJ,2025-10-04,0.0,11.3,46.8,18.4
DDU,2025-10-04,0.0,8.7,66.6,13.2
BSB,2025-10-04,0.0,10.7,54.9,6.4
GKP,2025-10-04,0.0,7.8,64.8,9.4
HWH,2025-10-04,1.5,8.9,61.1,15.4
BCT,2025-10-04,12.1,7.9,50.3,10.9
BRC,2025-10-04,0.0,7.9,40.5,4.4
RTM,2025-10-04,0.0,10.8,47.8,9.1
KOTA,2025-10-04,0.0,10.6,63.6,9.4
ST,2025-10-04,0.0,8.0,54.8,8.8
GZB,2025-10-04,1.3,7.8,67.7,13.1
ALJN,2025-10-04,0.0,9.9,40.5,6.6
TDL,2025-10-04,33.0,11.0,57.2,10.1
LKO,2025-10-04,0.0,7.8,55.2,12.0
AGC,2025-10-04,0.0,10.1,76.5,6.9
VGLJ,2025-10-04,0.0,9.9,76.9,6.8
BPL,2025-10-04,6.2,8.6,65.3,2.8
NGP,2025-10-04,0.0,7.8,35.9,11.4
MAS,2025-10-04,0.0,10.8,62.4,15.9
PPTA,2025-10-04,0.0,9.2,54.3,8.9
GHY,2025-10-04,0.0,10.8,58.0,5.6
ASR,2025-10-04,0.0,9.1,57.8,11.1
SBC,2025-10-04,0.0,9.4,53.9,9.8
